SECCION,P_12YMAS,POBFEM,POBMAS,PNACENT,PRES2015,P3YM_HLI,P15YM_AN,P15YM_SE,GRAPROES,PROM_HNV,PEA,PDESOCUP,PSINDER,PAFIL_IPRIV,PCATOLICA,p_joven,p_vieja,POBTOT
826,0.7266401590457257,0.4562624254473161,0.426441351888668,0.8250497017892644,0.8280318091451292,0,0.006958250497017893,0,7.942395626242545,2.2265625000000004,529.8358413132695,0,0.09045725646123261,0.003976143141153081,0.7326043737574552,0.0536779324055666,0.12127236580516898,1006
831,0.6729634002361276,0.4002361275088548,0.43211334120425027,0.8122786304604487,0.7662337662337663,0,0.014167650531286895,0.012987012987012988,7.233353010625739,2.4654578754578753,399.72456140350874,8.91578947368421,0.01770956316410862,0.0059031877213695395,0.7142857142857143,0.08736717827626919,0.08264462809917356,847
832,0.7152777777777778,0.4201388888888889,0.4357638888888889,0.828125,0.8038194444444444,0,0.010416666666666666,0.013888888888888888,7.374114583333333,2.703069306930693,257.24271844660194,9.78640776699029,0.109375,0.013888888888888888,0.6197916666666666,0.057291666666666664,0.1701388888888889,576
835,0.8565768621236133,0.4889064976228209,0.5110935023771791,0.7480190174326465,0.9144215530903328,0,0.022979397781299524,0.03407290015847861,8.542963549920762,2.5470037453183525,640.9232192414431,19.846438482886217,0.25118858954041207,0.012678288431061807,0.7979397781299524,0.12361331220285261,0.21870047543581617,1262
837,0.7416173570019724,0.4838921761998685,0.4546351084812623,0.7537804076265615,0.8073635765943459,0.005259697567389875,9.861932938856016e-4,0.001643655489809336,8.756932938856018,1.946934628975265,2072.497340425532,8.090425531914894,0.1623931623931624,0.004273504273504274,0.6522024983563445,0.09566074950690336,0.08284023668639054,3042
838,0.8272279934390377,0.4920721705850191,0.5079278294149808,0.8518316019682887,0.9070530344450519,0.002186987424822307,0,0,9.94651175505741,1.8912048192771085,1256.001982815598,0,0.131765992345544,0.0661563696008748,0.7211591033351559,0.11098961180973209,0.10552214324767632,1829
839,0.7538788175730851,0.48930262943001795,0.5031847133757962,0.720235178833905,0.8432141107300343,0.018455005716152214,0.004736240405030214,0.005552833578311285,9.153700800261312,1.94723178807947,3751.2660311958407,41.12066724436742,0.21803037726604604,0.015515270292340356,0.7306875714519027,0.10926016658500735,0.04572921770374,6123
841,0.8348163358430298,0.48551220625142594,0.5080994752452658,0.840520191649555,0.9155829340634268,0.0022815423226100846,0.004334930412959161,0.007757243896874287,9.930953684690854,1.9390093560814532,3017.430172178191,4.791473080076524,0.1676933607118412,0.07164042892995665,0.7239333789641798,0.11795573807894136,0.10609171800136892,4383
842,0.7700044503782821,0.4996884735202492,0.49924343569203383,0.7908322207387628,0.8396973742768136,0.007120605251446373,0.0016911437472185136,0.0038273253226524255,10.245387627948377,1.7186345753297851,7020.738642931453,67.53207721650676,0.1982198486871384,0.03364485981308411,0.7060080106809079,0.13377837116154873,0.03702714730752114,11235
843,0.8396369137670197,0.47049924357034795,0.5068078668683812,0.8668683812405447,0.9349470499243571,0,0.0045385779122541605,0.019667170953101363,8.327261724659607,2.133176895306859,435.9027027027027,4.763963963963964,0.17700453857791226,0.015128593040847202,0.6550680786686838,0.09833585476550681,0.16187594553706505,661
846,0.8396805896805897,0.4950859950859951,0.504914004914005,0.7585995085995086,0.8943488943488943,0.0085995085995086,0.01167076167076167,0.012285012285012284,9.294084766584767,2.1625637181409294,970.6071689831748,0,0.2942260442260442,0.017813267813267815,0.7407862407862408,0.11916461916461916,0.14803439803439802,1628
847,0.7720998531571219,0.49162995594713654,0.5036710719530103,0.7997063142437592,0.8772393538913362,0,0.012041116005873716,0.015271659324522761,10.660966226138031,1.8765588914549658,2133.1437809052873,54.39710916698364,0.24023494860499267,0.03142437591776799,0.7609397944199706,0.1066079295154185,0.07900146842878121,3405
848,0.8413793103448276,0.46436781609195404,0.5333333333333333,0.7218390804597701,0.8873563218390804,0.027586206896551724,0.0367816091954023,0.0367816091954023,9.97726436781609,1.9478612716763006,247.21311475409834,0,0.2574712643678161,0.06206896551724138,0.7126436781609196,0.13793103448275862,0.14942528735632185,435
849,0.7771324863883847,0.4849364791288566,0.505989110707804,0.785480943738657,0.8805807622504537,0.002540834845735027,0.003266787658802178,0.009074410163339383,10.242366606170599,1.9029339622641515,1649.6543671181691,25.73563755254554,0.25372050816696917,0.015970961887477313,0.7626134301270417,0.11506352087114338,0.05916515426497278,2755
854,0.6955848179705655,0.44461657629744383,0.4701781564678544,0.7513555383423702,0.7955073586367157,0,0.019364833462432222,0.023237800154918668,7.278528272656855,2.62020594965675,743.2594654788419,8.625835189309576,0.07591014717273431,0,0.7916343919442292,0.056545313710302095,0.10147172734314484,1291
855,0.7375776397515528,0.5031055900621118,0.44254658385093165,0.8291925465838509,0.8524844720496895,0,0.018633540372670808,0.012422360248447204,7.999425465838508,2.4192156862745096,347.0821052631579,0,0.09316770186335403,0.015527950310559006,0.8726708074534162,0.06832298136645963,0.15993788819875776,644
856,0.7076205287713841,0.4707102125453603,0.4432348367029549,0.7895282529808191,0.8180404354587869,0,0.008812856402280975,0.007257646448937273,7.951508553654746,2.3465367965367965,1040.1054945054946,0,0.08190772420943494,0.0036288232244686366,0.8190772420943494,0.07257646448937273,0.09849663037843442,1929
857,0.7635135135135135,0.49774774774774777,0.4752252252252252,0.8648648648648649,0.8806306306306306,0,0,0.006756756756756757,8.613378378378378,2.379885057471264,227.89380530973452,0,0.08558558558558559,0,0.8693693693693694,0.07432432432432433,0.22072072072072071,444
860,0.7775330396475771,0.4944933920704846,0.4895374449339207,0.8975770925110133,0.8838105726872246,0,0.003303964757709251,0.006607929515418502,9.344033590308372,2.005934903047091,2188.974504249292,37.297450424929174,0.08838105726872247,0.008535242290748899,0.7318281938325991,0.12720264317180616,0.07791850220264317,3632
861,0.8600917431192661,0.5194954128440367,0.4805045871559633,0.8841743119266054,0.9357798165137615,0,0.0034403669724770644,0.0034403669724770644,9.812259174311926,2.4141687979539648,437.16266666666667,4.650666666666667,0.12958715596330275,0.013761467889908258,0.8337155963302753,0.09518348623853211,0.25344036697247707,872
863,0.787422497785651,0.5035429583702391,0.48782108060230295,0.912533215234721,0.9038972542072631,0.001328609388839681,0.00907883082373782,0.006200177147918512,9.253086802480073,2.1314753189129223,2644.0697412823397,12.699662542182228,0.12223206377325066,0.005535872453498672,0.6231178033658105,0.12688219663418954,0.08879539415411869,4516
